unix_ts,type,longitude,latitude,message
1582076827,Vehicle breakdown,103.7273236,1.325302271,(19/2)9:45 Vehicle breakdown on AYE (towards MCE) after Yuan Ching Exit.
1582076827,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582076947,Vehicle breakdown,103.7273236,1.325302271,(19/2)9:45 Vehicle breakdown on AYE (towards MCE) after Yuan Ching Exit.
1582076947,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582077067,Vehicle breakdown,103.7273236,1.325302271,(19/2)9:45 Vehicle breakdown on AYE (towards MCE) after Yuan Ching Exit.
1582077067,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582077187,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582077307,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582077427,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582077547,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582077667,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582077787,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582077907,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
1582078027,Accident,103.8447333,1.376885937,(19/2)9:20 Accident on Ang Mo Kio Avenue 6 (towards Ang Mo Kio Avenue 5) after Ang Mo Kio Central 2.
